hotel_id,hotel_name,city_name,price_from,lon,lat
1,Bike & Bed CharinCo Hostel,Osaka,3300,135.5137671,34.682678
10,Ace Inn Shinjuku,Tokyo,2200,139.7243036,35.6925119
100,Guest House YULULU,Kyoto,1500,135.7626322,35.0098862
101,Guesthouse Fete,Tokyo,2300,139.7981,35.701441
102,Guesthouse Fujitatami,Osaka,2200,135.4575132,34.4698056
103,Guesthouse Gloire,Osaka,2800,135.511096,34.67197
104,Guesthouse HetoGep,Osaka,2500,135.5049204,34.6662004
105,Guesthouse Hiroshima Mange Tak,Hiroshima,2800,132.445801,34.3952854
106,Guesthouse Kagaribi,Tokyo,2200,139.7957726,35.7539265
107,Guesthouse Morizou Female only,Osaka,2000,135.526955,34.6800923
108,Guesthouse Origami,Kyoto,1500,0.0,0.0
109,Guesthouse SAI,Osaka,1800,135.5661389,34.7412826
11,Air Osaka Hostel,Osaka,1600,135.4769556,34.6222596
110,Guesthouse Sensu,Tokyo,3300,139.7405231,35.553499
111,Guesthouse Shitamachi-Kujo,Kyoto,1900,135.762166,34.977079
112,Guesthouse Soi,Kyoto,1700,135.7776103,34.9917216
113,Guesthouse U-En,Osaka,2300,135.4865055,34.6946473
114,Harborside Guest House MINATO,Fukuoka-City,2500,130.406397,33.603186
115,HARUYA Hostels Aqua,Kyoto,1500,135.748695,34.988516
116,HATAGO tenjin,Fukuoka-City,2300,130.3976545,33.5946282
117,Hikari House,Tokyo,4000,139.7019965,35.6991367
118,Hiromas Hostel in Akiba,Tokyo,2700,139.7702062,35.704546
119,Hiromas Hostel in Kanda,Tokyo,2000,139.7763124,35.6928219
12,Aizuya Inn,Tokyo,2000,139.800993,35.727547
120,Hiromas Inn  Chitose-Karasuyama,Tokyo,3000,139.6033214,35.6711619
121,Hiroshima Hana Hostel,Hiroshima,2300,132.478765,34.395097
122,Hiroshima Hostel EN,Hiroshima,3000,132.450789,34.408
123,Home Hostel Osaka,Osaka,2700,0.0,0.0
124,Homeikan,Tokyo,3600,139.75625,35.711231
125,Hop Step Inn,Tokyo,1500,139.7382791,35.7560182
126,Hostel & Cafe Bar Backpackers Miyajima,Hiroshima,2900,132.3046213,34.3101872
127,Hostel 64 Osaka,Osaka,2700,135.4883418,34.6780282
128,Hostel bedgasm,Tokyo,2900,139.789033,35.72135
129,Hostel Bushi,Osaka,1900,135.5374497,34.6979324
13,Akihabara Hotel 3000,Tokyo,2200,139.779382,35.6974904
130,Hostel Chapter Two Tokyo,Tokyo,2700,139.797217,35.709305
131,Hostel Chillout,Osaka,2300,0.0,0.0
132,hostel DEN,Tokyo,2400,139.7766966,35.6910315
133,Hostel Ebi,Kyoto,2500,135.760511,35.0050582
134,Hostel Ebisutei Souzou with Sake Bar,Osaka,2400,135.5052993,34.6560531
135,Hostel Enisia Namba,Osaka,3000,135.503292,34.6681
136,Hostel Ginkakuji,Kyoto,1300,135.791229,35.027017
137,Hostel HARUYA Book,Kyoto,1500,0.0,0.0
